customer_id,first_name,last_name,email,age,gender,home_city,home_country,home_airport,loyalty_tier,loyalty_points,enrolment_date,preferred_cabin
CUST000001,Ahmed,Shah,ahmed.shah21@email.com,19,Other,London,UK,LHR,Bronze,1143,2020-12-11,Economy
CUST000002,Ananya,Patel,ananya.patel99@email.com,23,M,Abu Dhabi,UAE,AUH,Silver,23390,2020-05-11,Economy
CUST000003,Riya,Wu,riya.wu37@email.com,55,F,Delhi,India,DEL,Gold,47298,2023-02-17,First
CUST000004,Emily,Joshi,emily.joshi68@email.com,23,F,Hyderabad,India,HYD,Bronze,2817,2023-10-05,Economy
CUST000005,David,Mehta,david.mehta15@email.com,53,F,Johannesburg,South Africa,JNB,Silver,23918,2023-08-12,Premium Economy
CUST000006,Suresh,Mehta,suresh.mehta36@email.com,72,M,Hyderabad,India,HYD,Bronze,3714,2022-01-04,Economy
CUST000007,Hassan,Gupta,hassan.gupta91@email.com,56,Other,Kolkata,India,CCU,Silver,10354,2022-06-28,Premium Economy
CUST000008,Riya,Chen,riya.chen82@email.com,71,M,Abu Dhabi,UAE,AUH,Gold,42546,2022-10-26,Business
CUST000009,James,Brown,james.brown81@email.com,59,F,Bangkok,Thailand,BKK,Gold,42359,2022-08-14,Business
CUST000010,Nour,Siddiqui,nour.siddiqui24@email.com,45,Other,Bangkok,Thailand,BKK,Bronze,1133,2023-09-27,Economy
CUST000011,Meera,Huang,meera.huang97@email.com,56,M,Bangkok,Thailand,BKK,Bronze,3834,2023-12-09,Economy
CUST000012,Layla,Ibrahim,layla.ibrahim43@email.com,66,F,Johannesburg,South Africa,JNB,Bronze,2404,2023-12-26,Business
CUST000013,Neel,Ahmed,neel.ahmed30@email.com,24,Other,Frankfurt,Germany,FRA,Gold,38035,2021-11-27,Business
CUST000014,Wang Fang,Sharma,wang fang.sharma82@email.com,56,F,Chicago,USA,ORD,Bronze,2973,2022-08-26,Business
CUST000015,Divya,Ali,divya.ali77@email.com,70,M,Tokyo,Japan,NRT,Gold,61031,2022-07-08,Business
CUST000016,Ashley,Brown,ashley.brown25@email.com,52,Other,Dubai,UAE,DXB,Silver,17236,2021-06-21,Economy
CUST000017,Deepa,Wang,deepa.wang17@email.com,19,Other,Tokyo,Japan,NRT,Bronze,1804,2020-06-18,Economy
CUST000018,Ananya,Wang,ananya.wang83@email.com,22,Other,Abu Dhabi,UAE,AUH,Bronze,3976,2020-10-19,Economy
CUST000019,Li Wei,Yang,li wei.yang96@email.com,30,M,Hyderabad,India,HYD,Silver,18879,2023-09-13,Premium Economy
CUST000020,Aisha,Joshi,aisha.joshi67@email.com,21,F,Paris,France,CDG,Gold,37556,2020-12-29,Economy
CUST000021,Neel,Wilson,neel.wilson11@email.com,47,M,Bangalore,India,BLR,Bronze,4508,2020-12-20,Business
CUST000022,Rohan,Smith,rohan.smith59@email.com,44,F,Chicago,USA,ORD,Bronze,3285,2023-12-28,Economy
CUST000023,Amanda,Taylor,amanda.taylor17@email.com,45,Other,Tokyo,Japan,NRT,Silver,10072,2022-10-13,Economy
CUST000024,Liu Yang,Kumar,liu yang.kumar75@email.com,65,F,Mumbai,India,BOM,Bronze,3905,2023-09-07,Economy
CUST000025,Neel,Gupta,neel.gupta89@email.com,56,M,Abu Dhabi,UAE,AUH,Bronze,4666,2023-10-12,Economy
CUST000026,Omar,Siddiqui,omar.siddiqui26@email.com,54,Other,Paris,France,CDG,Platinum,144629,2021-10-13,Business
CUST000027,Tanvi,Zhou,tanvi.zhou74@email.com,38,M,Delhi,India,DEL,Silver,8276,2022-10-22,Economy
CUST000028,Michael,Gupta,michael.gupta93@email.com,74,M,Singapore,Singapore,SIN,Bronze,3589,2020-07-28,Economy
CUST000029,Omar,Malik,omar.malik29@email.com,37,Other,Hyderabad,India,HYD,Platinum,103058,2020-11-24,Business
CUST000030,Mohammed,Brown,mohammed.brown21@email.com,63,F,Dubai,UAE,DXB,Silver,21561,2023-09-19,Premium Economy
CUST000031,Sneha,Singh,sneha.singh64@email.com,18,F,Chennai,India,MAA,Silver,10294,2020-11-28,Economy
CUST000032,Ishaan,Gupta,ishaan.gupta26@email.com,74,Other,Chennai,India,MAA,Silver,24087,2021-08-04,Economy
CUST000033,Sarah,Singh,sarah.singh29@email.com,75,F,Dubai,UAE,DXB,Silver,16589,2020-07-09,Business
CUST000034,Rohan,Smith,rohan.smith44@email.com,69,M,New York,USA,JFK,Bronze,2721,2022-08-11,Economy
CUST000035,Hassan,Joshi,hassan.joshi38@email.com,42,M,Chicago,USA,ORD,Bronze,3770,2022-09-22,Economy
CUST000036,Pooja,Xu,pooja.xu96@email.com,39,F,Bangalore,India,BLR,Platinum,208537,2021-10-05,First
CUST000037,Liu Yang,Wang,liu yang.wang54@email.com,19,M,London,UK,LHR,Bronze,2174,2021-07-26,Economy
CUST000038,James,Huang,james.huang65@email.com,56,Other,Hyderabad,India,HYD,Bronze,4723,2020-01-11,Economy
CUST000039,Liu Yang,Williams,liu yang.williams48@email.com,41,F,Bangalore,India,BLR,Platinum,297302,2023-04-21,Business
CUST000040,Omar,Yang,omar.yang32@email.com,38,F,Frankfurt,Germany,FRA,Silver,18777,2020-03-15,Premium Economy
CUST000041,Tanvi,Xu,tanvi.xu69@email.com,53,M,Frankfurt,Germany,FRA,Bronze,3521,2022-03-13,Economy
CUST000042,Layla,Brown,layla.brown52@email.com,50,F,Kolkata,India,CCU,Silver,21890,2020-07-12,Economy
CUST000043,Rohan,Anderson,rohan.anderson68@email.com,32,M,Chennai,India,MAA,Bronze,2005,2023-08-05,Economy
CUST000044,Ahmed,Rahman,ahmed.rahman23@email.com,30,Other,Bangkok,Thailand,BKK,Silver,9835,2023-12-21,Premium Economy
CUST000045,Riya,Johnson,riya.johnson69@email.com,69,Other,Sydney,Australia,SYD,Silver,13165,2023-04-03,Premium Economy
CUST000046,Wu Hao,Akhtar,wu hao.akhtar70@email.com,38,F,Nairobi,Kenya,NBO,Gold,60905,2023-02-10,Premium Economy
CUST000047,Rohan,Wilson,rohan.wilson40@email.com,67,Other,Chicago,USA,ORD,Silver,19413,2022-05-26,Economy
CUST000048,James,Ibrahim,james.ibrahim52@email.com,23,M,Chennai,India,MAA,Bronze,1251,2021-09-19,Economy
CUST000049,Robert,Kumar,robert.kumar10@email.com,31,F,Bangkok,Thailand,BKK,Gold,62728,2021-04-30,First
CUST000050,Tanvi,Liu,tanvi.liu44@email.com,72,F,Tokyo,Japan,NRT,Silver,24767,2022-10-09,Economy
CUST000051,Aditi,Liu,aditi.liu60@email.com,39,Other,Bangkok,Thailand,BKK,Silver,9182,2023-11-07,Economy
CUST000052,Omar,Patel,omar.patel51@email.com,23,Other,New York,USA,JFK,Bronze,3782,2021-11-16,Economy
CUST000053,James,Wang,james.wang79@email.com,66,F,London,UK,LHR,Gold,30367,2023-11-23,Economy
CUST000054,Michael,Jones,michael.jones89@email.com,59,M,Johannesburg,South Africa,JNB,Bronze,254,2023-11-21,Economy
CUST000055,Kavya,Khan,kavya.khan87@email.com,60,M,Seoul,South Korea,ICN,Platinum,118984,2020-08-09,First
CUST000056,Zara,Shah,zara.shah60@email.com,67,M,Frankfurt,Germany,FRA,Bronze,210,2021-11-24,Business
CUST000057,Pooja,Gupta,pooja.gupta15@email.com,55,Other,Johannesburg,South Africa,JNB,Bronze,2470,2020-10-29,Economy
CUST000058,Ashley,Zhang,ashley.zhang91@email.com,22,Other,Johannesburg,South Africa,JNB,Bronze,3441,2021-12-21,Premium Economy
CUST000059,Amanda,Reddy,amanda.reddy85@email.com,45,M,Sydney,Australia,SYD,Platinum,196863,2021-07-23,Business
CUST000060,Rohan,Mehta,rohan.mehta13@email.com,35,F,Abu Dhabi,UAE,AUH,Gold,68790,2022-02-12,Premium Economy
CUST000061,James,Johnson,james.johnson81@email.com,49,M,Singapore,Singapore,SIN,Gold,64069,2022-06-15,Economy
CUST000062,Pooja,Mehta,pooja.mehta67@email.com,33,Other,New York,USA,JFK,Silver,20600,2021-04-01,Premium Economy
CUST000063,Divya,Taylor,divya.taylor54@email.com,32,F,Abu Dhabi,UAE,AUH,Bronze,4764,2021-01-09,Economy
CUST000064,Nour,Malik,nour.malik50@email.com,39,F,Los Angeles,USA,LAX,Bronze,2059,2022-12-03,Economy
CUST000065,Liu Yang,Johnson,liu yang.johnson34@email.com,30,M,Chicago,USA,ORD,Bronze,4829,2023-06-10,Economy
CUST000066,Sarah,Johnson,sarah.johnson26@email.com,37,M,Tokyo,Japan,NRT,Bronze,372,2020-02-03,Economy
CUST000067,Zhang Min,Joshi,zhang min.joshi42@email.com,73,M,Seoul,South Korea,ICN,Bronze,3921,2023-09-18,Business
CUST000068,Li Wei,Shah,li wei.shah48@email.com,70,M,Bangkok,Thailand,BKK,Silver,6756,2020-11-05,Economy
CUST000069,Rohan,Shah,rohan.shah48@email.com,53,F,Nairobi,Kenya,NBO,Silver,22123,2021-07-09,Business
CUST000070,Ashley,Anderson,ashley.anderson94@email.com,54,Other,Mumbai,India,BOM,Silver,11808,2022-07-09,Economy
